,anon,Quelle sont vos compétences Croix-Rouge ?,Lundi - [00 - 02h],Lundi - [02 - 04h],Lundi - [04 - 06h],Lundi - [06 - 08h],Lundi - [08 - 10h],Lundi - [10 - 12h],Lundi - [12 - 14h],Lundi - [14 - 16h],Lundi - [16 - 18h],Lundi - [18 - 20h],Lundi - [20 - 22h],Lundi - [22 - 24h],Mardi - [00 - 02h],Mardi - [02 - 04h],Mardi - [04 - 06h],Mardi - [06 - 08h],Mardi - [08 - 10h],Mardi - [10 - 12h],Mardi - [12 - 14h],Mardi - [14 - 16h],Mardi - [16 - 18h],Mardi - [18 - 20h],Mardi - [20 - 22h],Mardi - [22 - 24h],Mercredi - [00 - 02h],Mercredi - [02 - 04h],Mercredi - [04 - 06h],Mercredi - [06 - 08h],Mercredi - [08 - 10h],Mercredi - [10 - 12h],Mercredi - [12 - 14h],Mercredi - [14 - 16h],Mercredi - [16 - 18h],Mercredi - [18 - 20h],Mercredi - [20 - 22h],Mercredi - [22 - 24h],Jeudi - [00 - 02h],Jeudi - [02 - 04h],Jeudi - [04 - 06h],Jeudi - [06 - 08h],Jeudi - [08 - 10h],Jeudi - [10 - 12h],Jeudi - [12 - 14h],Jeudi - [14 - 16h],Jeudi - [16 - 18h],Jeudi - [18 - 20h],Jeudi - [20 - 22h],Jeudi - [22 - 24h],Vendredi - [00 - 02h],Vendredi - [02 - 04h],Vendredi - [04 - 06h]
39,9,"Chef.fe d'équipe maraudes, CI, CI Alpha",OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,OUI
40,77,"Chauffeur VL, PSE1",NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON
41,76,"Chauffeur VL, PSE2",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
42,45,"Chef.fe d'équipe maraudes, PSE2",NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON
43,4,"Chauffeur VL, Chef.fe d'équipe maraudes, Maraudeur.se",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
44,79,"Chef.fe d'équipe maraudes, Maraudeur.se, PSE2",NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON
45,82,"Chauffeur VL, PSE2",OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI
46,84,"Chauffeur VL, PSE2",NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON
47,95,"Chauffeur VL, Chef.fe d'équipe maraudes, PSE2",NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON
48,39,"CI, CI Alpha",NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI
