,anon,chauf_vl,pse1,pse2,chauf_vpsp,maraud,psc1,log,chef_maraud,fle,perm_soc,ci,nouv_bene,tsa,infirmier,Date,Value,day_name,dispo,
32186,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Dimanche-12-14h,OUI,Dimanche,2020-03-29 12,0
32433,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Dimanche-12-14h,OUI,Dimanche,2020-03-29 12,0
32442,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-12-14h,OUI,Dimanche,2020-03-29 12,0
32598,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Dimanche-14-16h,OUI,Dimanche,2020-03-29 14,0
32845,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Dimanche-14-16h,OUI,Dimanche,2020-03-29 14,0
32854,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-14-16h,OUI,Dimanche,2020-03-29 14,0
33010,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Dimanche-16-18h,OUI,Dimanche,2020-03-29 16,0
33141,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-16-18h,OUI,Dimanche,2020-03-29 16,0
33257,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Dimanche-16-18h,OUI,Dimanche,2020-03-29 16,0
33266,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-16-18h,OUI,Dimanche,2020-03-29 16,0
33422,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Dimanche-18-20h,OUI,Dimanche,2020-03-29 18,0
33553,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-18-20h,OUI,Dimanche,2020-03-29 18,0
33669,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Dimanche-18-20h,OUI,Dimanche,2020-03-29 18,0
33678,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-18-20h,OUI,Dimanche,2020-03-29 18,0
33834,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Dimanche-20-22h,OUI,Dimanche,2020-03-29 20,0
33965,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-20-22h,OUI,Dimanche,2020-03-29 20,0
34081,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Dimanche-20-22h,OUI,Dimanche,2020-03-29 20,0
34090,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-20-22h,OUI,Dimanche,2020-03-29 20,0
34246,259,True,False,False,True,False,False,False,True,False,False,True,False,False,False,Dimanche-22-24h,OUI,Dimanche,2020-03-29 22,0
34377,232,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-22-24h,OUI,Dimanche,2020-03-29 22,0
34493,51,True,False,True,True,False,False,False,False,False,False,True,False,False,False,Dimanche-22-24h,OUI,Dimanche,2020-03-29 22,0
34502,359,True,False,False,True,False,False,False,False,False,False,True,False,False,False,Dimanche-22-24h,OUI,Dimanche,2020-03-29 22,0
